temperature, humidity, moisture 

26.401924, 55.681698, 63.956123
26.415276, 55.718319, 56.844204
26.484703, 55.718319, 55.872074
26.540779, 55.616081, 56.358135
26.596855, 55.791561, 56.741871
26.668961, 55.846493, 55.334843
26.695663, 55.849545, 57.560513
26.725037, 55.732052, 56.434883
26.767761, 55.762569, 56.460468
26.767761, 55.849545, 56.383720
26.783783, 55.873959, 55.258091
26.725037, 55.329216, 57.074444
26.754410, 55.594719, 55.283672
26.783783, 55.634392, 57.279106
26.826508, 55.814449, 56.793037
26.810486, 55.800716, 56.025566
26.866562, 55.822079, 56.895367
26.839859, 55.883114, 56.409302
26.866562, 55.899899, 56.537212
26.866562, 55.951778, 56.818623
26.853210, 55.992977, 55.718575
26.895935, 56.098270, 57.227940
26.866562, 55.974667, 55.437168
26.866562, 56.180668, 56.895367
26.866562, 56.018917, 67.409752
26.866562, 56.137943, 62.702583
26.866562, 56.192875, 63.137486
26.895935, 56.142521, 57.125610
26.895935, 56.023495, 56.895367
26.922638, 56.005184, 57.074444
26.895935, 55.542839, 55.539497
26.882584, 55.757992, 63.930538
26.938660, 55.777828, 57.227940
26.938660, 55.854122, 56.767452
26.909286, 55.828182, 57.125610
26.922638, 55.799191, 55.897652
26.826508, 54.077972, 56.562801
26.754410, 53.859772, 57.227940
26.652939, 53.835358, 56.051144
26.570152, 54.258030, 56.690712
26.540779, 54.404514, 56.997696
26.498055, 54.683758, 54.055714
26.428627, 54.869915, 55.923237
26.441978, 54.926376, 55.846485
26.415276, 55.040817, 56.230225
26.471352, 55.378044, 63.316563
26.556801, 55.544365, 56.869789
26.570152, 55.709164, 55.744160
26.639587, 55.808346, 52.878925
26.695663, 56.124210, 56.946529
26.797134, 56.574352, 56.281391
26.909286, 56.701000, 57.100029
26.978714, 56.023495, 55.744160
27.034790, 57.039749, 64.391029
27.064163, 56.826122, 57.330273
27.090866, 57.277794, 56.051144
27.090866, 57.497520, 55.565083
27.162964, 58.721291, 56.511635
27.219040, 58.820480, 56.895367
27.232391, 58.866257, 56.716293
27.189667, 58.867783, 56.460468
27.205688, 59.003586, 56.920952
27.219040, 58.927292, 56.844204
27.245743, 59.513237, 56.306969
27.261765, 58.902878, 56.511635
27.219040, 59.026474, 57.202354
27.261765, 59.383537, 56.204643
27.219040, 59.726864, 56.920952
27.288467, 60.024418, 56.537212
27.232391, 60.111393, 57.176777
27.301826, 60.221256, 56.332554
27.403297, 60.491341, 64.774765
27.459373, 60.653084, 57.714005
27.446022, 60.900284, 57.355854
27.515450, 61.191730, 56.972118
27.515450, 61.147480, 57.483765
27.587547, 61.252766, 64.800346
27.531471, 61.449604, 56.486050
27.531471, 61.397724, 57.048862
27.571526, 61.261921, 58.072163
27.614250, 60.744644, 57.407021
27.614250, 60.428780, 56.434883
27.614250, 59.969486, 56.306969
27.614250, 59.411003, 57.048862
27.614250, 59.234001, 56.741871
